,amarilla,
"Wavelength","Abs",
200.000,0.2599926,
201.000,0.007399272,
202.000,0.1652033,
203.000,0.2506437,
204.000,-0.05088864,
205.000,0.2048947,
206.000,0.3648539,
207.000,0.004655533,
208.000,-0.0727977,
209.000,0.01139091,
210.000,0.1347081,
211.000,0.1684314,
212.000,0.1302181,
213.000,-0.06349436,
214.000,0.09411542,
215.000,-0.07076099,
216.000,0.05452596,
217.000,0.1596405,
218.000,0.08498608,
219.000,-0.03783085,
220.000,-0.1257462,
221.000,0.444712,
222.000,0.1484677,
223.000,0.1703966,
224.000,0.07589264,
225.000,-0.1449761,
226.000,0.07405634,
227.000,0.06318816,
228.000,0.4229984,
229.000,0.1417068,
230.000,0.09497802,
231.000,-0.01248295,
232.000,0.04303183,
233.000,0.07509291,
234.000,0.08950443,
235.000,0.01920866,
236.000,0.08516699,
237.000,-0.06839058,
238.000,0.002278325,
239.000,0.04112022,
240.000,0.04627838,
241.000,0.09631267,
242.000,-0.09268645,
243.000,0.07444756,
244.000,0.07725605,
245.000,0.09992825,
246.000,0.06064418,
247.000,0.09225902,
248.000,0.06790323,
249.000,0.03104756,
250.000,0.03271203,
251.000,0.06047135,
252.000,-0.007353668,
253.000,0.04917897,
254.000,0.08613901,
255.000,0.03871001,
256.000,0.03308468,
257.000,0.02159649,
258.000,0.04526545,
259.000,0.04417976,
260.000,0.1259331,
261.000,0.01696395,
262.000,0.06554605,
263.000,0.004878959,
264.000,-0.04376202,
265.000,0.05025037,
266.000,0.0441232,
267.000,0.03818003,
268.000,0.01663289,
269.000,-0.03604518,
270.000,0.004707517,
271.000,0.03541612,
272.000,0.03088602,
273.000,0.07991467,
274.000,-0.02345288,
275.000,0.01578701,
276.000,0.003871344,
277.000,0.03129568,
278.000,0.005361598,
279.000,-0.03746261,
280.000,0.05044354,
281.000,0.003139547,
282.000,0.07760624,
283.000,0.04108137,
284.000,0.06424624,
285.000,0.08842979,
286.000,0.08908355,
287.000,0.09082231,
288.000,0.09551973,
289.000,0.09358035,
290.000,0.09554396,
291.000,0.0947166,
292.000,0.09612931,
293.000,0.0918112,
294.000,0.08982,
295.000,0.08723811,
296.000,0.08684459,
297.000,0.08617594,
298.000,0.08522774,
299.000,0.08323419,
300.000,0.0809488,
301.000,0.07634123,
302.000,0.07067504,
303.000,0.06339616,
304.000,0.0560915,
305.000,0.04819462,
306.000,0.04150581,
307.000,0.03565949,
308.000,0.03023873,
309.000,0.02588006,
310.000,0.0224045,
311.000,0.01953327,
312.000,0.01722247,
313.000,0.01435011,
314.000,0.01274927,
315.000,0.01138913,
316.000,0.01001172,
317.000,0.00888084,
318.000,0.008132608,
319.000,0.007296258,
320.000,0.006672601,
321.000,0.00653058,
