,rosa,
"Wavelength","Abs",
200.000,0.1931307,
201.000,-0.2032759,
202.000,0.2012361,
203.000,0.2044818,
204.000,-0.07089252,
205.000,0.2143892,
206.000,0.3891703,
207.000,0.04398737,
208.000,-0.09035189,
209.000,-0.04165087,
210.000,0.2862305,
211.000,0.04265454,
212.000,-0.04706733,
213.000,-0.1602167,
214.000,0.1624601,
215.000,-0.02351433,
216.000,0.0286389,
217.000,0.0463472,
218.000,0.2445002,
219.000,0.1639098,
220.000,0.05180823,
221.000,0.4052773,
222.000,0.304574,
223.000,0.02839776,
224.000,0.1313743,
225.000,-0.05010814,
226.000,0.252451,
227.000,0.2496082,
228.000,0.07447724,
229.000,0.1261775,
230.000,0.02591286,
231.000,0.051353,
232.000,0.1229865,
233.000,0.1843722,
234.000,0.1196687,
235.000,0.2052423,
236.000,0.08089963,
237.000,-0.06180635,
238.000,0.09268594,
239.000,0.1981617,
240.000,-0.008267374,
241.000,0.2857874,
242.000,-0.05299914,
243.000,-0.001018466,
244.000,0.07802912,
245.000,0.1566777,
246.000,0.0472893,
247.000,0.1277519,
248.000,0.06383448,
249.000,0.05771016,
250.000,0.06775233,
251.000,0.1218699,
252.000,0.0223,
253.000,0.04954933,
254.000,0.0695858,
255.000,0.08953356,
256.000,0.08534138,
257.000,0.04930372,
258.000,0.08694697,
259.000,0.03747488,
260.000,0.1595464,
261.000,0.06244435,
262.000,0.09252362,
263.000,0.03224487,
264.000,0.0734642,
265.000,0.003637113,
266.000,0.04620427,
267.000,0.03536322,
268.000,0.06900251,
269.000,0.03517833,
270.000,0.09267395,
271.000,0.05315157,
272.000,0.1204597,
273.000,0.02885915,
274.000,0.06151749,
275.000,0.06996078,
276.000,0.04850882,
277.000,0.07136847,
278.000,0.09642681,
279.000,0.03351306,
280.000,0.0954001,
281.000,0.05721742,
282.000,0.1221792,
283.000,0.1090435,
284.000,0.1029312,
285.000,0.1624217,
286.000,0.1560598,
287.000,0.1638182,
288.000,0.1662302,
289.000,0.1574517,
290.000,0.1546642,
291.000,0.1448804,
292.000,0.1399561,
293.000,0.131391,
294.000,0.1290561,
295.000,0.123565,
296.000,0.1208107,
297.000,0.1177966,
298.000,0.1140728,
299.000,0.1120966,
300.000,0.1098994,
301.000,0.1075867,
302.000,0.1057788,
303.000,0.1044215,
304.000,0.1032557,
305.000,0.1013097,
306.000,0.1004897,
307.000,0.09966838,
308.000,0.09820685,
309.000,0.09701337,
310.000,0.09490693,
311.000,0.09253437,
312.000,0.08956094,
313.000,0.08616679,
314.000,0.08247437,
315.000,0.07916121,
316.000,0.07579246,
317.000,0.07299679,
318.000,0.0700733,
319.000,0.06778506,
320.000,0.06532451,
321.000,0.06329663,
322.000,0.0609774,
323.000,0.05890189,
324.000,0.05714577,
325.000,0.05503977,
326.000,0.05304251,
327.000,0.05097502,
328.000,0.04966775,
329.000,0.0485547,
330.000,0.0457643,
331.000,0.04521881,
332.000,0.04414885,
333.000,0.04148787,
334.000,0.04065662,
335.000,0.04056824,
336.000,0.03870532,
337.000,0.03719667,
338.000,0.03594407,
339.000,0.03477692,
340.000,0.03278472,
341.000,0.03129166,
342.000,0.02979756,
343.000,0.02839909,
344.000,0.02736891,
345.000,0.02626185,
346.000,0.02505877,
347.000,0.0244418,
348.000,0.02332672,
349.000,0.02260938,
350.000,0.02114397,
351.000,0.02078211,
352.000,0.02021547,
353.000,0.01985711,
354.000,0.01872348,
355.000,0.0184818,
356.000,0.0177372,
357.000,0.01695266,
358.000,0.01669188,
359.000,0.01598027,
360.000,0.01562154,
361.000,0.01487857,
362.000,0.01431862,
363.000,0.01389523,
364.000,0.01365265,
365.000,0.01281926,
366.000,0.01238033,
367.000,0.01196547,
368.000,0.01137196,
369.000,0.01055531,
370.000,0.01034583,
371.000,0.009531876,
372.000,0.009267826,
373.000,0.009374401,
374.000,0.008894986,
375.000,0.008340761,
376.000,0.008140752,
377.000,0.007683112,
378.000,0.007577855,
379.000,0.007337895,
380.000,0.007202806,
381.000,0.006167852,
382.000,0.006699274,
383.000,0.00616609,
384.000,0.006384921,
385.000,0.006294818,
386.000,0.006022111,
387.000,0.005928995,
388.000,0.005716417,
389.000,0.005787458,
390.000,0.005447833,
391.000,0.005317224,
392.000,0.005088098,
393.000,0.004952725,
394.000,0.004903065,
395.000,0.004730029,
396.000,0.00495366,
397.000,0.004795965,
398.000,0.004797998,
399.000,0.004706786,
400.000,0.004661372,
401.000,0.004697055,
402.000,0.004582161,
403.000,0.004843938,
404.000,0.004668185,
405.000,0.004694359,
406.000,0.004682175,
407.000,0.004699131,
408.000,0.004627187,
409.000,0.004649321,
410.000,0.004704248,
411.000,0.004641595,
412.000,0.004772154,
413.000,0.004840304,
414.000,0.004979212,
415.000,0.004940939,
416.000,0.004827027,
417.000,0.005018582,
418.000,0.005120529,
419.000,0.005109626,
420.000,0.005169203,
421.000,0.005192286,
422.000,0.005299506,
423.000,0.005311908,
424.000,0.005554108,
425.000,0.005830046,
426.000,0.00555351,
427.000,0.005803014,
428.000,0.005723613,
429.000,0.005760683,
430.000,0.006184626,
431.000,0.006269182,
432.000,0.006346519,
433.000,0.006625517,
434.000,0.006643623,
435.000,0.006614401,
436.000,0.006956923,
437.000,0.007144743,
438.000,0.007182976,
439.000,0.007365956,
440.000,0.007721429,
441.000,0.007995302,
442.000,0.008191935,
443.000,0.008433438,
444.000,0.008673138,
445.000,0.009175103,
446.000,0.009437477,
447.000,0.009787515,
448.000,0.01008602,
449.000,0.01068721,
450.000,0.01108398,
451.000,0.01131737,
452.000,0.01195744,
453.000,0.01228091,
454.000,0.0128314,
455.000,0.01314626,
456.000,0.01374518,
457.000,0.01428632,
458.000,0.01463012,
459.000,0.01523397,
460.000,0.01561459,
461.000,0.01609965,
462.000,0.01661626,
463.000,0.01696652,
464.000,0.0174417,
465.000,0.01800701,
466.000,0.01842485,
467.000,0.01902047,
468.000,0.01962209,
469.000,0.02025559,
470.000,0.02089996,
471.000,0.02152288,
472.000,0.02226431,
473.000,0.02309419,
474.000,0.02411184,
475.000,0.02502431,
476.000,0.02627814,
477.000,0.0274766,
478.000,0.0287828,
479.000,0.03014703,
480.000,0.03157634,
481.000,0.03278707,
482.000,0.03425532,
483.000,0.03578059,
484.000,0.03709432,
485.000,0.03851747,
486.000,0.04008195,
487.000,0.04128783,
488.000,0.0426239,
489.000,0.0439845,
490.000,0.0451397,
491.000,0.04639759,
492.000,0.04759139,
493.000,0.0486816,
494.000,0.05018357,
495.000,0.0514909,
496.000,0.05291667,
497.000,0.05444881,
498.000,0.05609651,
499.000,0.05774247,
500.000,0.05968969,
501.000,0.06151765,
502.000,0.06372593,
503.000,0.06574488,
504.000,0.06799993,
505.000,0.07073214,
506.000,0.0731068,
507.000,0.0757592,
508.000,0.07864759,
509.000,0.08143887,
510.000,0.08440879,
511.000,0.08771563,
512.000,0.09131158,
513.000,0.09479405,
514.000,0.09874367,
515.000,0.1029773,
516.000,0.1072754,
517.000,0.1119614,
518.000,0.1172481,
519.000,0.1223444,
520.000,0.1281255,
521.000,0.1342568,
522.000,0.1410182,
523.000,0.1480365,
524.000,0.1557146,
525.000,0.1637778,
526.000,0.1722137,
527.000,0.1810477,
528.000,0.1902219,
529.000,0.199502,
530.000,0.2095178,
531.000,0.2195074,
532.000,0.2297498,
533.000,0.2401376,
534.000,0.2505471,
535.000,0.2608817,
536.000,0.271195,
537.000,0.2810637,
538.000,0.290709,
539.000,0.2998469,
540.000,0.3086339,
541.000,0.3170895,
542.000,0.3248772,
543.000,0.3320636,
544.000,0.3391755,
545.000,0.3453798,
546.000,0.3512444,
547.000,0.3567613,
548.000,0.3618767,
549.000,0.3669278,
550.000,0.3716672,
551.000,0.3769967,
552.000,0.3824286,
553.000,0.3884502,
554.000,0.3953693,
555.000,0.4029884,
556.000,0.4115841,
557.000,0.4216494,
558.000,0.4332783,
559.000,0.4469341,
560.000,0.4623858,
561.000,0.4798515,
562.000,0.4996364,
563.000,0.5211575,
564.000,0.5451374,
