,DO-PC-concentrada.Sample,
"Wavelength","Abs",
200.000,0.2211244,
201.000,-0.3300521,
202.000,-0.03124696,
203.000,0.5107992,
204.000,0.2296654,
205.000,-0.03370161,
206.000,0.4310467,
207.000,0.1176214,
208.000,0.2272386,
209.000,0.2212171,
210.000,0.1516309,
211.000,0.2992783,
212.000,0.2476823,
213.000,0.006776509,
214.000,0.1691347,
215.000,0.1255564,
216.000,0.06403998,
217.000,0.4137426,
218.000,0.4550508,
219.000,0.2153511,
220.000,0.3054035,
221.000,0.5399549,
222.000,0.3839976,
223.000,0.3137419,
224.000,0.3031259,
225.000,0.08508076,
226.000,0.1896433,
227.000,0.4592538,
228.000,0.374532,
229.000,0.2897454,
230.000,0.231264,
231.000,0.313174,
232.000,0.1594013,
233.000,0.2578768,
234.000,0.478688,
235.000,0.3165289,
236.000,0.2535116,
237.000,0.2670565,
238.000,0.1712562,
239.000,0.1528547,
240.000,0.289302,
241.000,0.2709776,
242.000,0.335308,
243.000,0.3972158,
244.000,0.2717713,
245.000,0.3813283,
246.000,0.3173187,
247.000,0.2390751,
248.000,0.3345578,
249.000,0.2726648,
250.000,0.2866677,
251.000,0.4262664,
252.000,0.3052896,
253.000,0.559106,
254.000,0.475811,
255.000,0.2344708,
256.000,0.4993459,
257.000,0.4335676,
258.000,0.5591454,
259.000,0.3789248,
260.000,0.6315922,
261.000,0.4549975,
262.000,0.334579,
263.000,0.3158609,
264.000,0.4537374,
265.000,0.4065323,
266.000,0.4199003,
267.000,0.4731711,
268.000,0.557072,
269.000,0.5213006,
270.000,0.4126543,
271.000,0.6300301,
272.000,0.6571558,
273.000,0.4316363,
274.000,0.51738,
275.000,0.5081119,
276.000,0.4831196,
277.000,0.4491562,
278.000,0.6066891,
279.000,0.4866836,
280.000,0.6265206,
281.000,0.621085,
282.000,0.7870732,
283.000,0.6727554,
284.000,0.9203356,
285.000,1.035283,
286.000,1.203868,
287.000,1.320741,
288.000,1.481486,
289.000,1.519701,
290.000,1.496777,
291.000,1.473042,
292.000,1.477302,
293.000,1.467924,
294.000,1.502143,
295.000,1.530336,
296.000,1.56217,
297.000,1.579933,
298.000,1.58954,
299.000,1.584805,
300.000,1.593579,
301.000,1.592066,
302.000,1.590259,
303.000,1.579701,
304.000,1.577199,
305.000,1.570593,
306.000,1.559393,
307.000,1.551627,
308.000,1.540325,
309.000,1.524262,
310.000,1.509516,
311.000,1.491151,
312.000,1.476767,
313.000,1.454819,
314.000,1.432698,
315.000,1.40978,
316.000,1.381319,
317.000,1.352325,
318.000,1.320942,
319.000,1.28533,
320.000,1.250544,
321.000,1.213589,
322.000,1.173336,
323.000,1.130014,
324.000,1.089374,
325.000,1.043802,
326.000,1.00095,
327.000,0.9574583,
328.000,0.9086759,
329.000,0.8621516,
330.000,0.8166195,
331.000,0.7747266,
332.000,0.7331194,
333.000,0.6928227,
334.000,0.6505142,
335.000,0.6080295,
336.000,0.5725193,
337.000,0.5365166,
338.000,0.5015447,
339.000,0.4683796,
340.000,0.4365732,
341.000,0.4065813,
342.000,0.3783176,
343.000,0.3524635,
344.000,0.328156,
345.000,0.3066,
346.000,0.2850422,
347.000,0.2676466,
348.000,0.2511666,
349.000,0.2352129,
350.000,0.2210232,
351.000,0.2086237,
352.000,0.1970858,
353.000,0.1867908,
354.000,0.1772078,
355.000,0.1693437,
356.000,0.1611702,
357.000,0.1545573,
358.000,0.1483221,
359.000,0.1423999,
360.000,0.136832,
361.000,0.1321282,
362.000,0.127716,
363.000,0.1237276,
364.000,0.119459,
365.000,0.1158034,
366.000,0.1124221,
367.000,0.1094059,
368.000,0.106324,
369.000,0.1036362,
370.000,0.101152,
371.000,0.09837394,
372.000,0.09582549,
373.000,0.09369805,
374.000,0.09127001,
375.000,0.08934628,
376.000,0.08764426,
377.000,0.08534177,
378.000,0.08400358,
379.000,0.08136535,
380.000,0.07985553,
