"File_250827_163335 - RawData"
"Wavelength nm."	"Abs."
350.00	0.3352
351.00	0.3375
352.00	0.3415
353.00	0.3472
354.00	0.3533
355.00	0.3600
356.00	0.3706
357.00	0.3826
358.00	0.3953
359.00	0.4106
360.00	0.4273
361.00	0.4426
362.00	0.4555
363.00	0.4610
364.00	0.4572
365.00	0.4448
366.00	0.4240
367.00	0.4016
368.00	0.3779
369.00	0.3564
370.00	0.3398
371.00	0.3265
372.00	0.3172
373.00	0.3097
374.00	0.3040
375.00	0.2995
376.00	0.2946
377.00	0.2896
378.00	0.2847
379.00	0.2801
380.00	0.2758
381.00	0.2723
382.00	0.2693
383.00	0.2665
384.00	0.2645
385.00	0.2616
386.00	0.2607
387.00	0.2594
388.00	0.2588
389.00	0.2577
390.00	0.2563
391.00	0.2560
392.00	0.2552
393.00	0.2544
394.00	0.2533
395.00	0.2530
396.00	0.2522
397.00	0.2519
398.00	0.2511
399.00	0.2511
400.00	0.2510
401.00	0.2515
402.00	0.2523
403.00	0.2526
404.00	0.2539
405.00	0.2553
406.00	0.2571
407.00	0.2586
408.00	0.2607
409.00	0.2627
410.00	0.2638
411.00	0.2652
412.00	0.2654
413.00	0.2656
414.00	0.2644
415.00	0.2626
416.00	0.2599
417.00	0.2567
418.00	0.2520
419.00	0.2473
420.00	0.2419
421.00	0.2360
422.00	0.2297
423.00	0.2236
424.00	0.2170
425.00	0.2104
426.00	0.2046
427.00	0.1989
428.00	0.1933
429.00	0.1879
430.00	0.1827
431.00	0.1780
432.00	0.1736
433.00	0.1700
434.00	0.1661
435.00	0.1632
436.00	0.1597
437.00	0.1570
438.00	0.1544
439.00	0.1518
440.00	0.1496
441.00	0.1476
442.00	0.1458
443.00	0.1440
444.00	0.1425
445.00	0.1406
446.00	0.1388
447.00	0.1373
448.00	0.1361
449.00	0.1344
450.00	0.1328
451.00	0.1317
452.00	0.1299
453.00	0.1285
454.00	0.1269
455.00	0.1255
456.00	0.1236
457.00	0.1220
458.00	0.1200
459.00	0.1184
460.00	0.1166
461.00	0.1150
462.00	0.1129
463.00	0.1112
464.00	0.1094
465.00	0.1077
466.00	0.1058
467.00	0.1044
468.00	0.1025
469.00	0.1012
470.00	0.1000
471.00	0.0984
472.00	0.0970
473.00	0.0960
474.00	0.0947
475.00	0.0936
476.00	0.0926
477.00	0.0912
478.00	0.0902
479.00	0.0895
480.00	0.0887
481.00	0.0878
482.00	0.0875
483.00	0.0867
484.00	0.0862
485.00	0.0856
486.00	0.0852
487.00	0.0847
488.00	0.0843
489.00	0.0841
490.00	0.0837
491.00	0.0836
492.00	0.0833
493.00	0.0830
494.00	0.0830
495.00	0.0828
496.00	0.0828
497.00	0.0830
498.00	0.0827
499.00	0.0830
500.00	0.0829
501.00	0.0836
502.00	0.0834
503.00	0.0837
504.00	0.0841
505.00	0.0842
506.00	0.0846
507.00	0.0847
508.00	0.0851
509.00	0.0854
510.00	0.0859
511.00	0.0863
512.00	0.0866
513.00	0.0873
514.00	0.0877
515.00	0.0882
516.00	0.0886
517.00	0.0895
518.00	0.0901
519.00	0.0906
520.00	0.0914
521.00	0.0920
522.00	0.0929
523.00	0.0933
524.00	0.0942
525.00	0.0949
526.00	0.0957
527.00	0.0966
528.00	0.0975
529.00	0.0984
530.00	0.0993
531.00	0.1000
532.00	0.1010
533.00	0.1021
534.00	0.1033
535.00	0.1045
536.00	0.1055
537.00	0.1073
538.00	0.1086
539.00	0.1098
540.00	0.1112
541.00	0.1127
542.00	0.1142
543.00	0.1158
544.00	0.1175
545.00	0.1189
546.00	0.1207
547.00	0.1226
548.00	0.1242
549.00	0.1260
550.00	0.1279
551.00	0.1297
552.00	0.1316
553.00	0.1337
554.00	0.1357
555.00	0.1379
556.00	0.1401
557.00	0.1423
558.00	0.1449
559.00	0.1466
560.00	0.1489
561.00	0.1511
562.00	0.1534
563.00	0.1557
564.00	0.1578
565.00	0.1599
566.00	0.1622
567.00	0.1645
568.00	0.1668
569.00	0.1694
570.00	0.1716
571.00	0.1743
572.00	0.1764
573.00	0.1793
574.00	0.1821
575.00	0.1848
576.00	0.1876
577.00	0.1905
578.00	0.1936
579.00	0.1965
580.00	0.2001
581.00	0.2037
582.00	0.2070
583.00	0.2107
584.00	0.2144
585.00	0.2182
586.00	0.2220
587.00	0.2260
588.00	0.2301
589.00	0.2345
590.00	0.2386
591.00	0.2433
592.00	0.2481
593.00	0.2528
594.00	0.2575
595.00	0.2628
596.00	0.2679
597.00	0.2731
598.00	0.2784
599.00	0.2842
600.00	0.2896
601.00	0.2957
602.00	0.3018
603.00	0.3076
604.00	0.3138
605.00	0.3198
606.00	0.3259
607.00	0.3321
608.00	0.3385
609.00	0.3449
610.00	0.3514
611.00	0.3581
612.00	0.3653
613.00	0.3724
614.00	0.3793
615.00	0.3863
616.00	0.3937
617.00	0.4008
618.00	0.4077
619.00	0.4151
620.00	0.4222
621.00	0.4293
622.00	0.4367
623.00	0.4442
624.00	0.4513
625.00	0.4590
626.00	0.4661
627.00	0.4734
628.00	0.4810
629.00	0.4884
630.00	0.4959
631.00	0.5037
632.00	0.5113
633.00	0.5188
634.00	0.5266
635.00	0.5345
636.00	0.5428
637.00	0.5506
638.00	0.5585
639.00	0.5675
640.00	0.5759
641.00	0.5848
642.00	0.5940
643.00	0.6031
644.00	0.6130
645.00	0.6228
646.00	0.6327
647.00	0.6431
648.00	0.6534
649.00	0.6638
650.00	0.6744
651.00	0.6860
652.00	0.6972
653.00	0.7093
654.00	0.7214
655.00	0.7337
656.00	0.7464
657.00	0.7600
658.00	0.7735
659.00	0.7865
660.00	0.8005
661.00	0.8139
